transaction_id,account_id,customer_id,txn_date,txn_time,txn_type,channel,description,counterparty_name,counterparty_bank,counterparty_country,amount,running_balance,is_alerted,alert_id
TXN-000016,ACC-0002,CUST-0001,2025-01-04,13:23:28,Cash Deposit,Branch,Cash Deposit,,,USA,9712.06,47257.33,true,ALERT-2025-00059
TXN-000017,ACC-0001,CUST-0001,2025-01-04,14:11:17,Wire Debit,Wire,Counterparty Screening Match,Al-Rashid Trading LLC,Metro Regional Bank,USA,43670.54,272577.86,true,ALERT-2025-00073
TXN-000018,ACC-0032,CUST-0013,2025-01-04,15:57:22,ACH Debit,Online,Tax or Insurance Payment,Treasury Services Clearing,First National Bank — US,USA,23976.20,139559.34,false,
TXN-000019,ACC-0001,CUST-0001,2025-01-04,16:00:57,Cash Deposit,Branch,Cash Deposit,,,USA,36913.11,309490.97,true,ALERT-2025-00028
TXN-000020,ACC-0004,CUST-0002,2025-01-05,13:28:27,Cash Deposit,Branch,Cash Deposit,,,USA,9747.84,302516.13,true,ALERT-2025-00089
TXN-000021,ACC-0001,CUST-0001,2025-01-06,08:08:52,Cash Deposit,Branch,Cash Deposit,,,USA,8885.49,318376.46,true,ALERT-2025-00074
TXN-000022,ACC-0014,CUST-0005,2025-01-06,13:16:16,Card Debit,Online,Online Purchase,NorthStar Online Retail,Metro Regional Bank,USA,382.46,2000.00,false,
TXN-000023,ACC-0004,CUST-0002,2025-01-06,17:38:20,Cash Deposit,Branch,Cash Deposit,,,USA,23855.32,326371.45,true,ALERT-2025-00090
TXN-000024,ACC-0002,CUST-0001,2025-01-07,12:39:47,Cash Deposit,Branch,Cash Deposit,,,USA,9610.80,56868.13,true,ALERT-2025-00065
TXN-000025,ACC-0044,CUST-0017,2025-01-08,09:35:02,ACH Credit,ACH,Client Invoice Payment,Client Invoice Payment,Gateway National Bank,USA,56842.18,3245388.04,false,
TXN-000026,ACC-0001,CUST-0001,2025-01-08,17:10:57,Cash Deposit,Branch,Cash Deposit,,,USA,41901.85,360278.31,true,ALERT-2025-00056
TXN-000027,ACC-0005,CUST-0002,2025-01-09,13:52:39,Cash Deposit,Branch,Cash Deposit,,,USA,9610.99,20185.01,true,ALERT-2025-00117
TXN-000028,ACC-0004,CUST-0002,2025-01-09,16:47:31,Cash Deposit,Branch,Cash Deposit,,,USA,9073.54,335444.99,true,ALERT-2025-00157
TXN-000029,ACC-0005,CUST-0002,2025-01-10,08:26:23,Cash Deposit,Branch,Cash Deposit,,,USA,9559.93,29744.94,true,ALERT-2025-00086
TXN-000030,ACC-0005,CUST-0002,2025-01-10,13:21:31,Cash Deposit,Branch,Cash Deposit,,,USA,8702.12,38447.06,true,ALERT-2025-00128
TXN-000031,ACC-0022,CUST-0009,2025-01-10,14:20:07,POS Debit,Debit Card,Grocery Purchase,FreshMart Grocery,First National Bank — US,USA,91.77,144246.54,false,
TXN-000032,ACC-0006,CUST-0002,2025-01-10,15:22:20,Wire Credit,Wire,Incoming Wire Transfer,Metro FX Clearing,Atlantic Correspondent Bank,USA,211696.38,793362.19,true,ALERT-2025-00121
TXN-000033,ACC-0002,CUST-0001,2025-01-10,17:57:10,Cash Deposit,Branch,Cash Deposit,,,USA,20411.24,77279.37,true,ALERT-2025-00067
TXN-000034,ACC-0005,CUST-0002,2025-01-11,10:16:36,Cash Deposit,Branch,Cash Deposit,,,USA,36627.61,75074.67,true,ALERT-2025-00126
TXN-000035,ACC-0004,CUST-0002,2025-01-12,11:27:42,Cash Deposit,Branch,Cash Deposit,,,USA,8778.03,344223.02,true,ALERT-2025-00100
TXN-000036,ACC-0021,CUST-0008,2025-01-12,11:51:16,ACH Debit,ACH,Utility Payment,Green Electric Utility,Metro Utility Bank,USA,207.47,36566.48,false,
TXN-000037,ACC-0009,CUST-0003,2025-01-12,14:37:59,Wire Debit,Wire,Counterparty Screening Match,Nova Commerce Group,Atlantic Correspondent Bank,USA,44956.69,1171190.13,true,ALERT-2025-00179
TXN-000038,ACC-0004,CUST-0002,2025-01-12,15:29:49,Cash Deposit,Branch,Cash Deposit,,,USA,8838.97,353061.99,true,ALERT-2025-00111
TXN-000039,ACC-0004,CUST-0002,2025-01-12,16:14:51,Cash Deposit,Branch,Cash Deposit,,,USA,8919.87,361981.86,true,ALERT-2025-00147
TXN-000040,ACC-0006,CUST-0002,2025-01-12,17:51:44,Wire Debit,Wire,Outgoing Wire Transfer,Metro FX Clearing,Metro Regional Bank,USA,74641.24,718720.95,true,ALERT-2025-00158
TXN-000041,ACC-0004,CUST-0002,2025-01-13,09:43:06,Cash Deposit,Branch,Cash Deposit,,,USA,9596.71,371578.57,true,ALERT-2025-00133
TXN-000042,ACC-0005,CUST-0002,2025-01-13,12:40:40,Cash Deposit,Branch,Cash Deposit,,,USA,9011.84,84086.51,true,ALERT-2025-00092
TXN-000043,ACC-0004,CUST-0002,2025-01-13,15:17:15,Cash Deposit,Branch,Cash Deposit,,,USA,42731.33,414309.90,true,ALERT-2025-00125
TXN-000044,ACC-0004,CUST-0002,2025-01-13,15:37:46,Cash Deposit,Branch,Cash Deposit,,,USA,8637.57,422947.47,true,ALERT-2025-00144
TXN-000045,ACC-0009,CUST-0003,2025-01-13,16:56:26,Wire Credit,Wire,International Wire Transfer,Orontes Market Co,Levant Correspondent Bank,Syria,82574.40,1253764.53,true,ALERT-2025-00212
TXN-000046,ACC-0004,CUST-0002,2025-01-14,11:33:12,Wire Debit,Wire,Counterparty Screening Match,Kaveh Mohammadi,Continental Trust Bank,USA,92474.60,330472.87,true,ALERT-2025-00138
TXN-000047,ACC-0007,CUST-0003,2025-01-14,12:47:59,Wire Debit,Wire,Counterparty Screening Match,Al-Rashid Trading LLC,Continental Trust Bank,USA,28425.02,794757.43,true,ALERT-2025-00230
TXN-000048,ACC-0005,CUST-0002,2025-01-14,15:58:31,Cash Deposit,Branch,Cash Deposit,,,USA,9030.87,93117.38,true,ALERT-2025-00115
TXN-000049,ACC-0009,CUST-0003,2025-01-14,17:39:03,Wire Debit,Wire,International Wire Transfer,Aden Freight Services,Aden Commercial Bank,Yemen,78873.66,1174890.87,true,ALERT-2025-00173
TXN-000050,ACC-0009,CUST-0003,2025-01-15,09:30:34,Wire Debit,Wire,Counterparty Screening Match,Kaveh Mohammadi,Gateway National Bank,USA,68913.42,1105977.45,true,ALERT-2025-00233
TXN-000051,ACC-0035,CUST-0014,2025-01-15,10:12:14,ACH Debit,ACH,Commercial Utility Payment,Utility Services USA,Metro Utility Bank,USA,1718.92,2607099.06,false,
TXN-000052,ACC-0007,CUST-0003,2025-01-15,14:34:36,Wire Debit,Wire,International Wire Transfer,Yadanar Logistics,Yangon Commercial Bank,Myanmar,76566.17,718191.26,true,ALERT-2025-00186
TXN-000053,ACC-0007,CUST-0003,2025-01-16,10:07:06,Wire Debit,Wire,International Wire Transfer,Aung Min Trading,Mandalay Trade Bank,Myanmar,49801.83,668389.43,true,ALERT-2025-00170
TXN-000054,ACC-0010,CUST-0004,2025-01-16,12:52:55,ACH Debit,ACH,Mortgage or Rent Payment,Riverstone Mortgage Servicing,Atlantic Correspondent Bank,USA,3760.82,1277115.05,false,
TXN-000055,ACC-0009,CUST-0003,2025-01-16,16:35:02,Wire Debit,Wire,Counterparty Screening Match,Nova Commerce Group,Atlantic Correspondent Bank,USA,65041.03,1040936.42,true,ALERT-2025-00219
TXN-000056,ACC-0012,CUST-0004,2025-01-17,08:12:54,Wire Debit,Wire,Trade Payment - Invoice INV92035,Istanbul Marine Parts,Anatolia Merchant Bank,Turkey,30000.00,2908354.97,true,ALERT-2025-00272
TXN-000057,ACC-0007,CUST-0003,2025-01-17,11:17:03,Wire Debit,Wire,Counterparty Screening Match,Eastern Star Holdings,Continental Trust Bank,USA,25596.15,642793.28,true,ALERT-2025-00178
TXN-000058,ACC-0009,CUST-0003,2025-01-17,13:56:05,Wire Credit,Wire,International Wire Transfer,Aung Min Trading,Yangon Commercial Bank,Myanmar,31412.06,1072348.48,true,ALERT-2025-00215
TXN-000059,ACC-0007,CUST-0003,2025-01-18,08:43:12,Wire Debit,Wire,Counterparty Screening Match,Eastern Star Holdings,Continental Trust Bank,USA,29909.00,612884.28,true,ALERT-2025-00209
TXN-000060,ACC-0009,CUST-0003,2025-01-18,09:26:52,Wire Debit,Wire,Counterparty Screening Match,Kaveh Mohammadi,Continental Trust Bank,USA,87151.47,985197.01,true,ALERT-2025-00237
TXN-000061,ACC-0007,CUST-0003,2025-01-18,14:23:30,Wire Debit,Wire,International Wire Transfer,Taiz General Trading,Sanaa Exchange Bank,Yemen,59882.31,553001.97,true,ALERT-2025-00180
TXN-000062,ACC-0007,CUST-0003,2025-01-19,08:02:06,Wire Credit,Wire,International Wire Transfer,Damascus General Trading,Damascus Mercantile Bank,Syria,27159.64,580161.61,true,ALERT-2025-00206
TXN-000063,ACC-0007,CUST-0003,2025-01-19,08:18:17,Wire Debit,Wire,International Wire Transfer,Damascus General Trading,Damascus Mercantile Bank,Syria,46169.78,533991.83,true,ALERT-2025-00166
TXN-000064,ACC-0009,CUST-0003,2025-01-19,09:03:38,Wire Debit,Wire,Counterparty Screening Match,Al-Rashid Trading LLC,Continental Trust Bank,USA,59706.38,925490.63,true,ALERT-2025-00235
TXN-000065,ACC-0010,CUST-0004,2025-01-19,09:15:50,Wire Debit,Wire,International Wire Transfer,Parsian Industrial Group,Parsian Bank,Iran,29421.58,1247693.47,true,ALERT-2025-00265
TXN-000066,ACC-0003,CUST-0001,2025-01-19,10:57:26,POS Debit,Debit Card,Grocery Purchase,FreshMart Grocery,First National Bank — US,USA,212.55,536850.99,false,
TXN-000067,ACC-0050,CUST-0018,2025-01-19,11:53:59,ACH Debit,ACH,Commercial Utility Payment,Utility Services USA,Metro Utility Bank,USA,748.03,161384.78,false,
TXN-000068,ACC-0010,CUST-0004,2025-01-19,13:31:27,Wire Debit,Wire,International Wire Transfer,Isfahan Merchant House,Tehran Commerce Bank,Iran,81030.22,1166663.25,true,ALERT-2025-00292
TXN-000069,ACC-0012,CUST-0004,2025-01-20,08:28:07,Wire Debit,Wire,International Wire Transfer,Volga Industrial Supply,Volga Correspondent Bank,Russia,38074.51,2870280.46,true,ALERT-2025-00270
TXN-000070,ACC-0010,CUST-0004,2025-01-20,10:41:58,Wire Debit,Wire,International Wire Transfer,Sanaa Export House,Aden Commercial Bank,Yemen,70281.76,1096381.49,true,ALERT-2025-00282
TXN-000071,ACC-0005,CUST-0002,2025-01-20,14:52:56,ACH Debit,ACH,Utility Payment,Green Electric Utility,Metro Utility Bank,USA,233.34,92884.04,false,
TXN-000072,ACC-0014,CUST-0005,2025-01-21,01:05:12,Cash Deposit,Branch,Cash Deposit,,,USA,8726.97,10726.97,true,ALERT-2025-00324
TXN-000073,ACC-0012,CUST-0004,2025-01-21,12:11:25,Wire Debit,Wire,Trade Payment - Invoice INV29409,Istanbul Marine Parts,Anatolia Merchant Bank,Turkey,40000.00,2830280.46,true,ALERT-2025-00256
TXN-000074,ACC-0024,CUST-0010,2025-01-21,13:16:23,POS Debit,Debit Card,Grocery Purchase,FreshMart Grocery,First National Bank — US,USA,79.39,337111.71,false,
TXN-000075,ACC-0012,CUST-0004,2025-01-21,13:44:19,Wire Debit,Wire,International Wire Transfer,Nevsky Trade Bureau,Moscow Industrial Bank,Russia,20150.25,2810130.21,true,ALERT-2025-00293
TXN-000076,ACC-0007,CUST-0003,2025-01-21,14:18:44,Wire Debit,Wire,Counterparty Screening Match,Nova Commerce Group,Gateway National Bank,USA,33358.39,500633.44,true,ALERT-2025-00205
TXN-000077,ACC-0013,CUST-0005,2025-01-22,01:40:47,Cash Deposit,Branch,Cash Deposit,,,USA,24344.82,26344.82,true,ALERT-2025-00373
TXN-000078,ACC-0012,CUST-0004,2025-01-22,08:19:39,Wire Debit,Wire,Outgoing Wire Transfer,Metro FX Clearing,Metro Regional Bank,USA,41174.60,2768955.61,true,ALERT-2025-00273
TXN-000079,ACC-0010,CUST-0004,2025-01-22,09:13:27,Wire Credit,Wire,Incoming Wire Transfer,NorthBridge Capital LLC,Atlantic Correspondent Bank,USA,284805.89,1381187.38,true,ALERT-2025-00250
TXN-000080,ACC-0012,CUST-0004,2025-01-22,12:29:40,Wire Debit,Wire,Trade Payment - Invoice INV22806,Istanbul Marine Parts,Anatolia Merchant Bank,Turkey,100000.00,2668955.61,true,ALERT-2025-00247
TXN-000081,ACC-0007,CUST-0003,2025-01-22,14:39:45,Wire Credit,Wire,International Wire Transfer,Volga Industrial Supply,Moscow Industrial Bank,Russia,67998.30,568631.74,true,ALERT-2025-00239
TXN-000082,ACC-0007,CUST-0003,2025-01-22,17:51:08,Wire Debit,Wire,International Wire Transfer,Kaveh Mohammadi,Tehran Commerce Bank,Iran,72487.37,496144.37,true,ALERT-2025-00225
TXN-000083,ACC-0028,CUST-0012,2025-01-22,17:57:32,Card Debit,Online,Online Purchase,NorthStar Online Retail,Metro Regional Bank,USA,161.56,1631576.93,false,
TXN-000084,ACC-0007,CUST-0003,2025-01-23,09:29:01,Wire Debit,Wire,Counterparty Screening Match,Al-Rashid Trading LLC,Metro Regional Bank,USA,19188.03,476956.34,true,ALERT-2025-00236
TXN-000085,ACC-0018,CUST-0007,2025-01-23,17:39:19,ACH Credit,ACH,Monthly Salary Credit,Bennett Cardiology PLLC,Payroll Clearing Bank,USA,18432.17,277543.98,false,
TXN-000086,ACC-0013,CUST-0005,2025-01-24,01:04:27,Cash Deposit,Branch,Cash Deposit,,,USA,8880.15,35224.97,true,ALERT-2025-00339
TXN-000087,ACC-0013,CUST-0005,2025-01-24,01:47:42,Cash Deposit,Branch,Cash Deposit,,,USA,9049.92,44274.89,true,ALERT-2025-00374
TXN-000088,ACC-0013,CUST-0005,2025-01-24,02:08:33,Cash Deposit,Branch,Cash Deposit,,,USA,33999.43,78274.32,true,ALERT-2025-00352
TXN-000089,ACC-0013,CUST-0005,2025-01-24,02:44:24,Cash Deposit,Branch,Cash Deposit,,,USA,9623.86,87898.18,true,ALERT-2025-00357
TXN-000090,ACC-0012,CUST-0004,2025-01-24,10:04:30,Wire Debit,Wire,International Wire Transfer,Yadanar Logistics,Mandalay Trade Bank,Myanmar,82512.89,2586442.72,true,ALERT-2025-00249
TXN-000091,ACC-0012,CUST-0004,2025-01-24,17:09:03,Wire Debit,Wire,Trade Payment - Invoice INV35696,Shenzhen Allied Components,Pearl River Trade Bank,China,75000.00,2511442.72,true,ALERT-2025-00251
TXN-000092,ACC-0014,CUST-0005,2025-01-25,02:45:42,Cash Deposit,Branch,Cash Deposit,,,USA,21129.67,31856.64,true,ALERT-2025-00361
TXN-000093,ACC-0015,CUST-0005,2025-01-25,11:04:37,Wire Debit,Wire,Counterparty Screening Match,Kaveh Mohammadi,Metro Regional Bank,USA,32176.35,259891.74,true,ALERT-2025-00327
TXN-000094,ACC-0010,CUST-0004,2025-01-25,13:19:39,Wire Debit,Wire,Counterparty Screening Match,Eastern Star Holdings,Continental Trust Bank,USA,30610.15,1350577.23,true,ALERT-2025-00318
TXN-000095,ACC-0015,CUST-0005,2025-01-25,17:16:46,Wire Credit,Wire,Incoming Wire Transfer,Continental Payment Hub,Atlantic Correspondent Bank,USA,286668.62,546560.36,true,ALERT-2025-00376
TXN-000096,ACC-0013,CUST-0005,2025-01-26,02:12:36,Cash Deposit,Branch,Cash Deposit,,,USA,9250.45,97148.63,true,ALERT-2025-00387
TXN-000097,ACC-0013,CUST-0005,2025-01-26,02:43:21,Cash Deposit,Branch,Cash Deposit,,,USA,32704.82,129853.45,true,ALERT-2025-00393
TXN-000098,ACC-0018,CUST-0007,2025-01-26,09:42:38,Wire Debit,Wire,International Wire Transfer,Cap-Haitien Goods Depot,Port-au-Prince Bank,Haiti,43576.01,233967.97,true,ALERT-2025-00410
TXN-000099,ACC-0014,CUST-0005,2025-01-28,01:26:58,Cash Deposit,Branch,Cash Deposit,,,USA,19314.87,51171.51,true,ALERT-2025-00388
TXN-000100,ACC-0014,CUST-0005,2025-01-28,01:34:52,Cash Deposit,Branch,Cash Deposit,,,USA,9863.98,61035.49,true,ALERT-2025-00397
TXN-000101,ACC-0013,CUST-0005,2025-01-28,02:37:29,Cash Deposit,Branch,Cash Deposit,,,USA,9794.60,139648.05,true,ALERT-2025-00363
TXN-000102,ACC-0014,CUST-0005,2025-01-28,02:48:02,Cash Deposit,Branch,Cash Deposit,,,USA,33026.21,94061.70,true,ALERT-2025-00375
TXN-000103,ACC-0020,CUST-0008,2025-01-28,11:52:12,Wire Debit,Wire,Counterparty Screening Match,Nova Commerce Group,Gateway National Bank,USA,73821.89,1072301.95,true,ALERT-2025-00431
TXN-000104,ACC-0054,CUST-0020,2025-01-28,14:57:59,ACH Debit,ACH,Payroll Payment,Payroll Processing Co,First National Bank — US,USA,18926.72,90364.27,false,
TXN-000105,ACC-0023,CUST-0009,2025-01-29,08:55:47,Cash Deposit,Branch,Cash Deposit,,,USA,8679.28,18036.62,true,ALERT-2025-00449
TXN-000106,ACC-0023,CUST-0009,2025-01-29,11:42:20,Cash Deposit,Branch,Cash Deposit,,,USA,20791.80,38828.42,true,ALERT-2025-00453
TXN-000107,ACC-0020,CUST-0008,2025-01-29,13:11:30,Wire Debit,Wire,Counterparty Screening Match,Eastern Star Holdings,Continental Trust Bank,USA,79843.28,992458.67,true,ALERT-2025-00437
TXN-000108,ACC-0015,CUST-0005,2025-01-30,09:42:19,Wire Debit,Wire,Counterparty Screening Match,Al-Rashid Trading LLC,Continental Trust Bank,USA,12728.40,533831.96,true,ALERT-2025-00340
TXN-000109,ACC-0020,CUST-0008,2025-01-31,08:42:21,Wire Debit,Wire,Counterparty Screening Match,Kaveh Mohammadi,Gateway National Bank,USA,76761.55,915697.12,true,ALERT-2025-00434
TXN-000110,ACC-0027,CUST-0011,2025-01-31,09:38:13,Cash Deposit,Branch,Cash Deposit,,,USA,9238.02,11238.02,true,ALERT-2025-00484
TXN-000111,ACC-0020,CUST-0008,2025-01-31,12:53:17,Wire Debit,Wire,Counterparty Screening Match,Al-Rashid Trading LLC,Atlantic Correspondent Bank,USA,85759.90,829937.22,true,ALERT-2025-00440
TXN-000112,ACC-0016,CUST-0006,2025-02-01,09:48:26,Cash Deposit,Branch,Cash Deposit,,,USA,9427.50,11427.50,true,ALERT-2025-00405
TXN-000113,ACC-0028,CUST-0012,2025-02-01,15:35:12,Wire Debit,Wire,International Wire Transfer,Volga Industrial Supply,Moscow Industrial Bank,Russia,35436.48,1596140.45,true,ALERT-2025-00521
TXN-000114,ACC-0020,CUST-0008,2025-02-01,16:48:18,Cash Deposit,Branch,Cash Deposit,,,USA,9252.43,839189.65,true,ALERT-2025-00424
TXN-000115,ACC-0027,CUST-0011,2025-02-01,16:57:37,Cash Deposit,Branch,Cash Deposit,,,USA,37077.55,48315.57,true,ALERT-2025-00494
TXN-000116,ACC-0028,CUST-0012,2025-02-02,11:28:25,Wire Debit,Wire,Counterparty Screening Match,Kaveh Mohammadi,Metro Regional Bank,USA,45745.64,1550394.81,true,ALERT-2025-00520
TXN-000117,ACC-0022,CUST-0009,2025-02-03,08:40:36,Cash Deposit,Branch,Cash Deposit,,,USA,9500.70,153747.24,true,ALERT-2025-00455
TXN-000118,ACC-0027,CUST-0011,2025-02-03,08:42:12,Cash Deposit,Branch,Cash Deposit,,,USA,8678.10,56993.67,true,ALERT-2025-00503
TXN-000119,ACC-0022,CUST-0009,2025-02-03,09:02:52,Wire Debit,Wire,International Wire Transfer,Marib Commodities,Sanaa Exchange Bank,Yemen,20117.23,133630.01,true,ALERT-2025-00464
TXN-000120,ACC-0030,CUST-0013,2025-02-03,09:30:50,Cash Deposit,Branch,Cash Deposit,,,USA,9645.61,385843.12,true,ALERT-2025-00571
TXN-000121,ACC-0030,CUST-0013,2025-02-03,09:38:37,Cash Deposit,Branch,Cash Deposit,,,USA,27364.92,413208.04,true,ALERT-2025-00581
TXN-000122,ACC-0019,CUST-0007,2025-02-03,13:08:19,ATM Withdrawal,ATM,ATM Withdrawal,City ATM Network,First National Bank — US,USA,234.10,42255.27,false,
TXN-000123,ACC-0027,CUST-0011,2025-02-03,13:58:01,Cash Deposit,Branch,Cash Deposit,,,USA,9450.53,66444.20,true,ALERT-2025-00485
TXN-000124,ACC-0032,CUST-0013,2025-02-03,15:19:25,Cash Deposit,Branch,Cash Deposit,,,USA,35173.21,174732.55,true,ALERT-2025-00574
TXN-000125,ACC-0021,CUST-0008,2025-02-03,15:26:03,Cash Deposit,Branch,Cash Deposit,,,USA,9891.38,46457.86,true,ALERT-2025-00425
TXN-000126,ACC-0024,CUST-0010,2025-02-04,12:19:24,Wire Debit,Wire,Counterparty Screening Match,Nova Commerce Group,Metro Regional Bank,USA,60974.85,276136.86,true,ALERT-2025-00472
TXN-000127,ACC-0027,CUST-0011,2025-02-04,15:03:09,Cash Deposit,Branch,Cash Deposit,,,USA,9778.07,76222.27,true,ALERT-2025-00476
TXN-000128,ACC-0032,CUST-0013,2025-02-04,17:33:36,Cash Deposit,Branch,Cash Deposit,,,USA,9455.11,184187.66,true,ALERT-2025-00580
TXN-000129,ACC-0028,CUST-0012,2025-02-05,09:57:35,Wire Debit,Wire,Counterparty Screening Match,Kaveh Mohammadi,Gateway National Bank,USA,72599.95,1477794.86,true,ALERT-2025-00510
TXN-000130,ACC-0023,CUST-0009,2025-02-05,10:18:53,Cash Deposit,Branch,Cash Deposit,,,USA,9084.72,47913.14,true,ALERT-2025-00454
TXN-000131,ACC-0027,CUST-0011,2025-02-05,17:49:41,Cash Deposit,Branch,Cash Deposit,,,USA,41965.56,118187.83,true,ALERT-2025-00491
TXN-000132,ACC-0032,CUST-0013,2025-02-06,14:50:16,Cash Deposit,Branch,Cash Deposit,,,USA,8960.72,193148.38,true,ALERT-2025-00610
TXN-000133,ACC-0022,CUST-0009,2025-02-07,09:26:00,Cash Deposit,Branch,Cash Deposit,,,USA,8716.47,142346.48,true,ALERT-2025-00452
TXN-000134,ACC-0028,CUST-0012,2025-02-07,10:10:58,POS Debit,Debit Card,Grocery Purchase,FreshMart Grocery,First National Bank — US,USA,80.60,1477714.26,false,
TXN-000135,ACC-0031,CUST-0013,2025-02-07,13:27:24,Cash Deposit,Branch,Cash Deposit,,,USA,8882.54,291969.82,true,ALERT-2025-00585
TXN-000136,ACC-0032,CUST-0013,2025-02-07,16:45:30,Cash Deposit,Branch,Cash Deposit,,,USA,43616.14,236764.52,true,ALERT-2025-00566
TXN-000137,ACC-0032,CUST-0013,2025-02-07,17:45:07,Cash Deposit,Branch,Cash Deposit,,,USA,23882.11,260646.63,true,ALERT-2025-00609
TXN-000138,ACC-0028,CUST-0012,2025-02-08,17:49:10,Wire Debit,Wire,Counterparty Screening Match,Kaveh Mohammadi,Metro Regional Bank,USA,44211.60,1433502.66,true,ALERT-2025-00506
TXN-000139,ACC-0036,CUST-0014,2025-02-09,08:21:22,Wire Debit,Wire,Trade Payment - Invoice INV99119,Istanbul Marine Parts,Anatolia Merchant Bank,Turkey,75000.00,1871774.48,true,ALERT-2025-00638
TXN-000140,ACC-0036,CUST-0014,2025-02-09,09:13:55,Wire Debit,Wire,Counterparty Screening Match,Nova Commerce Group,Metro Regional Bank,USA,82993.73,1788780.75,true,ALERT-2025-00650
TXN-000141,ACC-0031,CUST-0013,2025-02-09,09:56:46,Cash Deposit,Branch,Cash Deposit,,,USA,22990.63,314960.45,true,ALERT-2025-00576
TXN-000142,ACC-0030,CUST-0013,2025-02-09,16:35:10,Cash Deposit,Branch,Cash Deposit,,,USA,8934.77,422142.81,true,ALERT-2025-00602
TXN-000143,ACC-0030,CUST-0013,2025-02-09,16:53:35,Cash Deposit,Branch,Cash Deposit,,,USA,18398.06,440540.87,true,ALERT-2025-00544
TXN-000144,ACC-0013,CUST-0005,2025-02-10,08:43:28,ACH Credit,ACH,Monthly Salary Credit,Reed Nightlife Group,Payroll Clearing Bank,USA,17628.44,157276.49,false,
TXN-000145,ACC-0032,CUST-0013,2025-02-10,10:10:53,Cash Deposit,Branch,Cash Deposit,,,USA,8930.37,269577.00,true,ALERT-2025-00595
TXN-000146,ACC-0031,CUST-0013,2025-02-10,11:07:51,Cash Deposit,Branch,Cash Deposit,,,USA,9847.81,324808.26,true,ALERT-2025-00555
TXN-000147,ACC-0025,CUST-0010,2025-02-10,12:00:46,ACH Debit,ACH,Utility Payment,Green Electric Utility,Metro Utility Bank,USA,101.90,37250.50,false,
TXN-000148,ACC-0033,CUST-0014,2025-02-11,09:54:51,Wire Debit,Wire,International Wire Transfer,Levant Cedar Group,Damascus Mercantile Bank,Syria,84461.86,3214795.84,true,ALERT-2025-00687
TXN-000149,ACC-0009,CUST-0003,2025-02-11,15:01:02,ACH Debit,ACH,Utility Payment,Green Electric Utility,Metro Utility Bank,USA,195.97,925294.66,false,
TXN-000150,ACC-0033,CUST-0014,2025-02-11,16:45:42,Wire Debit,Wire,International Wire Transfer,Levant Cedar Group,Levant Correspondent Bank,Syria,50741.55,3164054.29,true,ALERT-2025-00660
