case_id,note_text,analyst,timestamp
CASE-2025-0016,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Retail Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 91/100. Confirmed pass-through activity with rapid outgoing wires shortly after receipt of funds. Proceeding with SAR recommendation or enhanced review based on case disposition.,Marie Davis,2025-01-23 14:52:09
CASE-2025-0017,Opened investigation for ALERT-2025-00170. Customer Richard Ellis flagged for High Risk Country. Pulling transaction history and KYC documentation for review.,Hannah Louise,2025-01-22 12:27:51
CASE-2025-0017,"Identified 8 international wire transfers totaling $452,439.85 to counterparties in Myanmar, Syria, Yemen. Myanmar is treated as a high-risk jurisdiction for enhanced monitoring purposes. Customer's stated occupation as Retired Government Official does not provide clear business justification for this wire activity.",Hannah Louise,2025-01-23 17:57:13
CASE-2025-0017,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as Very High risk with Enhanced due diligence. Source of funds documented as Pension and Investments. Observed activity appears inconsistent with documented profile. Customer is flagged as a Politically Exposed Person which elevates the risk of this activity. Risk score assessed at 84/100. Confirmed wire activity involving high-risk jurisdictions inconsistent with the customer profile. Proceeding with SAR recommendation or enhanced review based on case disposition.,Hannah Louise,2025-01-24 15:43:03
CASE-2025-0018,Opened investigation for ALERT-2025-00178. Customer Richard Ellis flagged for Watchlist Hit. Pulling transaction history and KYC documentation for review.,Hannah Louise,2025-01-21 12:48:25
CASE-2025-0018,"Transaction monitoring flagged counterparty Eastern Star Holdings as a potential OFAC watchlist match. Initiated enhanced screening review. Transaction amount: $25,596.15 via Wire on 2025-01-17.",Hannah Louise,2025-01-22 10:32:02
CASE-2025-0018,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as Very High risk with Enhanced due diligence. Source of funds documented as Pension and Investments. Observed activity appears inconsistent with documented profile. Customer is flagged as a Politically Exposed Person which elevates the risk of this activity. Risk score assessed at 78/100. Confirmed unresolved counterparty screening concern requiring SAR consideration. Proceeding with SAR recommendation or enhanced review based on case disposition.,Hannah Louise,2025-01-23 08:01:52
CASE-2025-0019,Opened investigation for ALERT-2025-00186. Customer Richard Ellis flagged for High Risk Country. Pulling transaction history and KYC documentation for review.,Cassian Jude,2025-01-25 16:40:04
CASE-2025-0019,"Identified 10 international wire transfers totaling $592,925.52 to counterparties in Iran, Myanmar, Russia, Syria, Yemen. Iran is treated as a high-risk jurisdiction for enhanced monitoring purposes. Customer's stated occupation as Retired Government Official does not provide clear business justification for this wire activity.",Cassian Jude,2025-01-26 17:46:29
CASE-2025-0019,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as Very High risk with Enhanced due diligence. Source of funds documented as Pension and Investments. Observed activity appears inconsistent with documented profile. Customer is flagged as a Politically Exposed Person which elevates the risk of this activity. Risk score assessed at 81/100. Confirmed wire activity involving high-risk jurisdictions inconsistent with the customer profile. Proceeding with SAR recommendation or enhanced review based on case disposition.,Cassian Jude,2025-01-27 10:51:12
CASE-2025-0020,Opened investigation for ALERT-2025-00209. Customer Richard Ellis flagged for Watchlist Hit. Pulling transaction history and KYC documentation for review.,Olivia Brown,2025-01-22 14:30:24
CASE-2025-0020,"Transaction monitoring flagged counterparty Eastern Star Holdings as a potential OFAC watchlist match. Initiated enhanced screening review. Transaction amount: $29,909.00 via Wire on 2025-01-18.",Olivia Brown,2025-01-23 17:15:52
CASE-2025-0020,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as Very High risk with Enhanced due diligence. Source of funds documented as Pension and Investments. Observed activity appears inconsistent with documented profile. Customer is flagged as a Politically Exposed Person which elevates the risk of this activity. Risk score assessed at 92/100. Confirmed unresolved counterparty screening concern requiring SAR consideration. Proceeding with SAR recommendation or enhanced review based on case disposition.,Olivia Brown,2025-01-24 11:47:18
CASE-2025-0021,Opened investigation for ALERT-2025-00219. Customer Richard Ellis flagged for Watchlist Hit. Pulling transaction history and KYC documentation for review.,Hannah Louise,2025-01-25 16:04:20
CASE-2025-0021,"Transaction monitoring flagged counterparty Nova Commerce Group as a potential OFAC watchlist match. Initiated enhanced screening review. Transaction amount: $65,041.03 via Wire on 2025-01-16.",Hannah Louise,2025-01-26 11:35:57
CASE-2025-0021,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as Very High risk with Enhanced due diligence. Source of funds documented as Pension and Investments. Observed activity appears inconsistent with documented profile. Customer is flagged as a Politically Exposed Person which elevates the risk of this activity. Risk score assessed at 98/100. Confirmed unresolved counterparty screening concern requiring SAR consideration. Proceeding with SAR recommendation or enhanced review based on case disposition.,Hannah Louise,2025-01-27 17:27:51
CASE-2025-0022,Opened investigation for ALERT-2025-00225. Customer Richard Ellis flagged for High Risk Country. Pulling transaction history and KYC documentation for review.,Marie Davis,2025-01-25 12:16:24
CASE-2025-0022,"Identified 10 international wire transfers totaling $592,925.52 to counterparties in Iran, Myanmar, Russia, Syria, Yemen. Iran is treated as a high-risk jurisdiction for enhanced monitoring purposes. Customer's stated occupation as Retired Government Official does not provide clear business justification for this wire activity.",Marie Davis,2025-01-26 12:10:54
CASE-2025-0022,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as Very High risk with Enhanced due diligence. Source of funds documented as Pension and Investments. Observed activity appears inconsistent with documented profile. Customer is flagged as a Politically Exposed Person which elevates the risk of this activity. Risk score assessed at 89/100. Confirmed wire activity involving high-risk jurisdictions inconsistent with the customer profile. Proceeding with SAR recommendation or enhanced review based on case disposition.,Marie Davis,2025-01-27 15:17:11
CASE-2025-0023,Opened investigation for ALERT-2025-00230. Customer Richard Ellis flagged for Watchlist Hit. Pulling transaction history and KYC documentation for review.,Cassian Jude,2025-01-23 09:10:41
CASE-2025-0023,"Transaction monitoring flagged counterparty Al-Rashid Trading LLC as a potential OFAC watchlist match. Initiated enhanced screening review. Transaction amount: $28,425.02 via Wire on 2025-01-14.",Cassian Jude,2025-01-24 16:35:09
CASE-2025-0023,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as Very High risk with Enhanced due diligence. Source of funds documented as Pension and Investments. Observed activity appears inconsistent with documented profile. Customer is flagged as a Politically Exposed Person which elevates the risk of this activity. Risk score assessed at 90/100. Confirmed unresolved counterparty screening concern requiring SAR consideration. Proceeding with SAR recommendation or enhanced review based on case disposition.,Cassian Jude,2025-01-25 08:32:49
CASE-2025-0024,Opened investigation for ALERT-2025-00233. Customer Richard Ellis flagged for Watchlist Hit. Pulling transaction history and KYC documentation for review.,Olivia Brown,2025-01-23 15:22:13
CASE-2025-0024,"Transaction monitoring flagged counterparty Kaveh Mohammadi as a potential OFAC watchlist match. Initiated enhanced screening review. Transaction amount: $68,913.42 via Wire on 2025-01-15.",Olivia Brown,2025-01-24 17:43:56
CASE-2025-0024,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as Very High risk with Enhanced due diligence. Source of funds documented as Pension and Investments. Observed activity appears inconsistent with documented profile. Customer is flagged as a Politically Exposed Person which elevates the risk of this activity. Risk score assessed at 89/100. Confirmed unresolved counterparty screening concern requiring SAR consideration. Proceeding with SAR recommendation or enhanced review based on case disposition.,Olivia Brown,2025-01-25 14:50:19
CASE-2025-0025,Opened investigation for ALERT-2025-00237. Customer Richard Ellis flagged for Watchlist Hit. Pulling transaction history and KYC documentation for review.,Cassian Jude,2025-01-28 11:48:51
CASE-2025-0025,"Transaction monitoring flagged counterparty Kaveh Mohammadi as a potential OFAC watchlist match. Initiated enhanced screening review. Transaction amount: $87,151.47 via Wire on 2025-01-18.",Cassian Jude,2025-01-29 16:45:47
CASE-2025-0025,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as Very High risk with Enhanced due diligence. Source of funds documented as Pension and Investments. Observed activity appears inconsistent with documented profile. Customer is flagged as a Politically Exposed Person which elevates the risk of this activity. Risk score assessed at 84/100. Confirmed unresolved counterparty screening concern requiring SAR consideration. Proceeding with SAR recommendation or enhanced review based on case disposition.,Cassian Jude,2025-01-30 15:11:17
CASE-2025-0026,Opened investigation for ALERT-2025-00247. Customer Daniel Haddad flagged for Trade Based ML. Pulling transaction history and KYC documentation for review.,Marie Davis,2025-01-27 13:07:44
CASE-2025-0026,"Reviewed 4 trade-related wire transfers totaling $245,000.00. Counterparties located in China, Turkey. Invoice amounts appear inconsistent with industry benchmarks for Business Owner.",Marie Davis,2025-01-28 10:37:34
CASE-2025-0026,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Trade Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 95/100. Confirmed trade-payment anomalies and round-dollar invoices inconsistent with expected business activity. Proceeding with SAR recommendation or enhanced review based on case disposition.,Marie Davis,2025-01-29 09:17:13
CASE-2025-0027,Opened investigation for ALERT-2025-00250. Customer Daniel Haddad flagged for Rapid Movement. Pulling transaction history and KYC documentation for review.,Olivia Brown,2025-01-28 09:07:52
CASE-2025-0027,"Account received $284,805.89 wire credit on 2025-01-22 and disbursed $41,174.60 across 1 outgoing wires within 48 hours. Retained balance represents only 85.5% of inflow. Pattern consistent with pass-through or layering activity.",Olivia Brown,2025-01-29 13:39:05
CASE-2025-0027,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Trade Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 98/100. Confirmed pass-through activity with rapid outgoing wires shortly after receipt of funds. Proceeding with SAR recommendation or enhanced review based on case disposition.,Olivia Brown,2025-01-30 12:40:35
CASE-2025-0028,Opened investigation for ALERT-2025-00251. Customer Daniel Haddad flagged for Trade Based ML. Pulling transaction history and KYC documentation for review.,Marie Davis,2025-01-26 17:10:04
CASE-2025-0028,"Reviewed 4 trade-related wire transfers totaling $245,000.00. Counterparties located in China, Turkey. Invoice amounts appear inconsistent with industry benchmarks for Business Owner.",Marie Davis,2025-01-27 13:51:53
CASE-2025-0028,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Trade Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 81/100. Confirmed trade-payment anomalies and round-dollar invoices inconsistent with expected business activity. Proceeding with SAR recommendation or enhanced review based on case disposition.,Marie Davis,2025-01-28 09:28:11
CASE-2025-0029,Opened investigation for ALERT-2025-00265. Customer Daniel Haddad flagged for High Risk Country. Pulling transaction history and KYC documentation for review.,Olivia Brown,2025-01-27 13:01:29
CASE-2025-0029,"Identified 6 international wire transfers totaling $321,471.21 to counterparties in Iran, Myanmar, Russia, Yemen. Iran is treated as a high-risk jurisdiction for enhanced monitoring purposes. Customer's stated occupation as Business Owner does not provide clear business justification for this wire activity.",Olivia Brown,2025-01-28 14:04:44
CASE-2025-0029,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Trade Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 89/100. Confirmed wire activity involving high-risk jurisdictions inconsistent with the customer profile. Proceeding with SAR recommendation or enhanced review based on case disposition.,Olivia Brown,2025-01-29 11:10:51
CASE-2025-0030,Opened investigation for ALERT-2025-00273. Customer Daniel Haddad flagged for Rapid Movement. Pulling transaction history and KYC documentation for review.,Marie Davis,2025-01-27 10:26:47
CASE-2025-0030,"Account received $284,805.89 wire credit on 2025-01-22 and disbursed $41,174.60 across 1 outgoing wires within 48 hours. Retained balance represents only 85.5% of inflow. Pattern consistent with pass-through or layering activity.",Marie Davis,2025-01-28 13:18:59
CASE-2025-0030,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Trade Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 94/100. Confirmed pass-through activity with rapid outgoing wires shortly after receipt of funds. Proceeding with SAR recommendation or enhanced review based on case disposition.,Marie Davis,2025-01-29 08:38:47
CASE-2025-0031,Opened investigation for ALERT-2025-00282. Customer Daniel Haddad flagged for High Risk Country. Pulling transaction history and KYC documentation for review.,Olivia Brown,2025-01-31 16:07:54
CASE-2025-0031,"Identified 6 international wire transfers totaling $321,471.21 to counterparties in Iran, Myanmar, Russia, Yemen. Iran is treated as a high-risk jurisdiction for enhanced monitoring purposes. Customer's stated occupation as Business Owner does not provide clear business justification for this wire activity.",Olivia Brown,2025-02-01 16:28:19
CASE-2025-0031,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Trade Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 97/100. Confirmed wire activity involving high-risk jurisdictions inconsistent with the customer profile. Proceeding with SAR recommendation or enhanced review based on case disposition.,Olivia Brown,2025-02-02 09:23:49
CASE-2025-0032,Opened investigation for ALERT-2025-00293. Customer Daniel Haddad flagged for High Risk Country. Pulling transaction history and KYC documentation for review.,Cassian Jude,2025-02-01 10:38:46
CASE-2025-0032,"Identified 6 international wire transfers totaling $321,471.21 to counterparties in Iran, Myanmar, Russia, Yemen. Iran is treated as a high-risk jurisdiction for enhanced monitoring purposes. Customer's stated occupation as Business Owner does not provide clear business justification for this wire activity.",Cassian Jude,2025-02-02 12:38:27
CASE-2025-0032,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Trade Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 96/100. Confirmed wire activity involving high-risk jurisdictions inconsistent with the customer profile. Proceeding with SAR recommendation or enhanced review based on case disposition.,Cassian Jude,2025-02-03 11:05:46
CASE-2025-0033,Opened investigation for ALERT-2025-00340. Customer Marcus Reed flagged for Watchlist Hit. Pulling transaction history and KYC documentation for review.,Olivia Brown,2025-01-31 08:53:34
CASE-2025-0033,"Transaction monitoring flagged counterparty Al-Rashid Trading LLC as a potential OFAC watchlist match. Initiated enhanced screening review. Transaction amount: $12,728.40 via Wire on 2025-01-30.",Olivia Brown,2025-02-01 15:59:54
CASE-2025-0033,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Business Revenue. Observed activity appears inconsistent with documented profile. Risk score assessed at 80/100. Confirmed unresolved counterparty screening concern requiring SAR consideration. Proceeding with SAR recommendation or enhanced review based on case disposition.,Olivia Brown,2025-02-02 15:44:49
CASE-2025-0034,Opened investigation for ALERT-2025-00357. Customer Marcus Reed flagged for Structuring. Pulling transaction history and KYC documentation for review.,Cassian Jude,2025-02-03 17:37:21
CASE-2025-0034,"Reviewed 90-day transaction history. Customer conducted 7 cash deposits totaling $65,189.93 between 2025-01-21 and 2025-01-28. Each deposit ranged from $8,726.97 to $9,863.98, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Cassian Jude,2025-02-04 13:17:08
CASE-2025-0034,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Business Revenue. Observed activity appears inconsistent with documented profile. Risk score assessed at 96/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Cassian Jude,2025-02-05 13:06:29
