alert_id,rule_explanation
BSA-ALERT-0011,"{""scenario"":""STRUCTURING"",""version"":""v2"",""rule_summary"":""Customer CUST-0012 made 4 cash deposits totaling $35,750 from 2026-05-01 to 2026-05-08, each between $8,200 and $9,400."",""thresholds_at_detection"":{""min_txn_amount"":8000,""max_txn_amount"":9999,""min_count"":3,""window_days"":10,""threshold_change_reason"":""Reduced window from 14 to 10 days based on FP analysis""},""observed"":{""customer_id"":""CUST-0012"",""date_range"":""2026-05-01 to 2026-05-08"",""transaction_count"":4,""total_amount_usd"":35750,""amounts_usd"":[8200,8900,9250,9400],""amount_range_usd"":""8200-9400"",""accounts_used"":1,""triggering_transaction_ids"":[""TXN-000072"",""TXN-000073"",""TXN-000074"",""TXN-000075""]},""red_flags"":[""Cash deposits met the minimum count within 10 days"",""All deposits were below the CTR threshold"",""Deposit cadence was inconsistent with prior account history""]}"
BSA-ALERT-0012,"{""scenario"":""WATCHLIST_HIT"",""version"":""v2"",""rule_summary"":""Customer CUST-0016 sent 2 ACH credits totaling $14,200 to Al Noor Trading USA LLC, which screened as a potential match with scores of 88 and 86."",""thresholds_at_detection"":{""min_match_score"":85,""screen_counterparties"":true,""screen_beneficial_owners"":true},""observed"":{""customer_id"":""CUST-0016"",""counterparty_id"":""CP-00044"",""counterparty_name"":""Al Noor Trading USA LLC"",""screening_status"":""potential_match"",""date_range"":""2026-04-30 to 2026-05-02"",""transaction_count"":2,""total_amount_usd"":14200,""match_scores"":[88,86],""triggering_transaction_ids"":[""TXN-000078"",""TXN-000079""]},""red_flags"":[""Counterparty screening score exceeded the 85 threshold"",""Payments were repeated before disposition of the first alert"",""Customer did not provide beneficial-owner details for the trading counterparty""]}"
BSA-ALERT-0013,"{""scenario"":""HIGH_RISK_COUNTRY"",""version"":""v2"",""rule_summary"":""Customer CUST-0004 sent 2 USD wires totaling $16,000 to Mandalay Teak Trading Co Ltd in Myanmar on 2026-04-17 and 2026-04-22."",""thresholds_at_detection"":{""min_amount"":5000,""risk_tier"":""high"",""include_fatf_grey"":true,""include_ofac_countries"":true},""observed"":{""customer_id"":""CUST-0004"",""counterparty_id"":""CP-00031"",""counterparty_country"":""Myanmar"",""date_range"":""2026-04-17 to 2026-04-22"",""transaction_count"":2,""total_amount_usd"":16000,""amounts_usd"":[7000,9000],""triggering_transaction_ids"":[""TXN-000082"",""TXN-000083""]},""red_flags"":[""Both wires exceeded the $5,000 high-risk-country threshold"",""Counterparty industry involved timber trading"",""Business purpose documentation was incomplete""]}"
BSA-ALERT-0014,"{""scenario"":""TRADE_BASED_ML"",""version"":""v2"",""rule_summary"":""Customer CUST-0018 processed 3 trade payments totaling $44,800 with invoice values 22% above shipment documentation."",""thresholds_at_detection"":{""invoice_mismatch_pct"":20,""min_transaction_amount"":10000,""multi_jurisdiction"":true},""observed"":{""customer_id"":""CUST-0018"",""date_range"":""2026-04-02 to 2026-04-16"",""transaction_count"":3,""total_amount_usd"":44800,""average_invoice_mismatch_pct"":22,""jurisdictions"":[""United States"",""Mexico"",""Singapore""],""triggering_transaction_ids"":[""TXN-000085"",""TXN-000086"",""TXN-000087""]},""red_flags"":[""Invoice mismatch exceeded 20%"",""Trade payments crossed multiple jurisdictions"",""Invoices used inconsistent unit pricing for the same product category""]}"
BSA-ALERT-0015,"{""scenario"":""CASH_INTENSIVE"",""version"":""v2"",""rule_summary"":""Customer CUST-0009 deposited $16,750 in cash during the week of 2026-05-04, exceeding the $15,000 weekly threshold."",""thresholds_at_detection"":{""weekly_threshold"":15000,""monthly_threshold"":50000,""lookback_days"":30},""observed"":{""customer_id"":""CUST-0009"",""date_range"":""2026-05-04 to 2026-05-09"",""transaction_count"":3,""total_cash_deposits_usd"":16750,""amounts_usd"":[5900,5400,5450],""triggering_transaction_ids"":[""TXN-000090"",""TXN-000091"",""TXN-000092""]},""red_flags"":[""Weekly cash activity exceeded the scenario threshold"",""Cash was deposited at three different branch locations"",""Customer is not classified as a cash-intensive business""]}"
BSA-ALERT-0016,"{""scenario"":""RAPID_MOVEMENT"",""version"":""v2"",""rule_summary"":""Customer CUST-0013 received $61,000 and transferred $52,000 out within 42 hours, representing 85.2% outbound movement."",""thresholds_at_detection"":{""min_inflow"":50000,""outflow_pct"":85,""window_hours"":48},""observed"":{""customer_id"":""CUST-0013"",""inflow_usd"":61000,""outflow_usd"":52000,""outflow_pct"":85.2,""window_hours"":42,""date_range"":""2026-03-26 to 2026-03-28"",""transaction_count"":3,""triggering_transaction_ids"":[""TXN-000094"",""TXN-000095"",""TXN-000096""]},""red_flags"":[""Outbound movement exceeded 85% of inbound funds"",""Account had limited prior operating activity"",""Outbound beneficiary was newly added before the transfer""]}"
BSA-ALERT-0017,"{""scenario"":""STRUCTURING"",""version"":""v2"",""rule_summary"":""Customer CUST-0020 made 3 cash deposits totaling $27,900 from 2026-04-24 to 2026-04-30, each between $9,100 and $9,500."",""thresholds_at_detection"":{""min_txn_amount"":8000,""max_txn_amount"":9999,""min_count"":3,""window_days"":10,""threshold_change_reason"":""Reduced window from 14 to 10 days based on FP analysis""},""observed"":{""customer_id"":""CUST-0020"",""date_range"":""2026-04-24 to 2026-04-30"",""transaction_count"":3,""total_amount_usd"":27900,""amounts_usd"":[9100,9300,9500],""amount_range_usd"":""9100-9500"",""accounts_used"":1,""triggering_transaction_ids"":[""TXN-000099"",""TXN-000100"",""TXN-000101""]},""red_flags"":[""Minimum count was met within the 10-day scenario window"",""All deposits were below the CTR threshold"",""Amounts clustered narrowly below $10,000""]}"
BSA-ALERT-0018,"{""scenario"":""WATCHLIST_HIT"",""version"":""v2"",""rule_summary"":""Customer CUST-0002 sent 2 wires totaling $31,500 to Meridian Overseas Trading Inc, which screened as a potential match with scores of 89 and 87."",""thresholds_at_detection"":{""min_match_score"":85,""screen_counterparties"":true,""screen_beneficial_owners"":true},""observed"":{""customer_id"":""CUST-0002"",""counterparty_id"":""CP-00022"",""counterparty_name"":""Meridian Overseas Trading Inc"",""screening_status"":""potential_match"",""date_range"":""2026-04-20 to 2026-04-23"",""transaction_count"":2,""total_amount_usd"":31500,""match_scores"":[89,87],""triggering_transaction_ids"":[""TXN-000103"",""TXN-000104""]},""red_flags"":[""Counterparty match scores exceeded the watchlist threshold"",""Transaction amounts were material for the customer profile"",""Counterparty ownership information was incomplete""]}"
BSA-ALERT-0019,"{""scenario"":""CASH_INTENSIVE"",""version"":""v2"",""rule_summary"":""Customer CUST-0007 deposited $15,600 in cash from 2026-05-05 to 2026-05-08, exceeding the $15,000 weekly threshold."",""thresholds_at_detection"":{""weekly_threshold"":15000,""monthly_threshold"":50000,""lookback_days"":30},""observed"":{""customer_id"":""CUST-0007"",""date_range"":""2026-05-05 to 2026-05-08"",""transaction_count"":2,""total_cash_deposits_usd"":15600,""amounts_usd"":[7800,7800],""triggering_transaction_ids"":[""TXN-000107"",""TXN-000108""]},""red_flags"":[""Weekly cash activity exceeded the threshold"",""Deposits were equal-dollar cash amounts"",""Cash behavior was elevated compared with the customer baseline""]}"
BSA-ALERT-0020,"{""scenario"":""RAPID_MOVEMENT"",""version"":""v2"",""rule_summary"":""Customer CUST-0015 received $50,500 and sent $43,200 out within 47 hours, representing 85.5% outbound movement."",""thresholds_at_detection"":{""min_inflow"":50000,""outflow_pct"":85,""window_hours"":48},""observed"":{""customer_id"":""CUST-0015"",""inflow_usd"":50500,""outflow_usd"":43200,""outflow_pct"":85.5,""window_hours"":47,""date_range"":""2026-04-06 to 2026-04-08"",""transaction_count"":2,""triggering_transaction_ids"":[""TXN-000110"",""TXN-000111""]},""red_flags"":[""Outbound movement exceeded 85% within 48 hours"",""Activity occurred near the minimum scenario thresholds"",""Beneficiary had no prior relationship with the customer""]}"
BSA-ALERT-0021,"{""scenario"":""WATCHLIST_HIT"",""version"":""v2"",""rule_summary"":""Customer CUST-0016 made a $6,300 payment to Red River Logistics LLC, which screened as a potential match at 85."",""thresholds_at_detection"":{""min_match_score"":85,""screen_counterparties"":true,""screen_beneficial_owners"":true},""observed"":{""customer_id"":""CUST-0016"",""counterparty_id"":""CP-00013"",""counterparty_name"":""Red River Logistics LLC"",""screening_status"":""potential_match"",""date"":""2026-05-06"",""transaction_count"":1,""total_amount_usd"":6300,""match_scores"":[85],""triggering_transaction_ids"":[""TXN-000113""]},""red_flags"":[""Potential match met the minimum watchlist score"",""Counterparty name resembled a listed logistics entity"",""Payment was released before enhanced due diligence was completed""]}"
BSA-ALERT-0022,"{""scenario"":""HIGH_RISK_COUNTRY"",""version"":""v2"",""rule_summary"":""Customer CUST-0011 sent a $5,400 USD wire to Mandalay Teak Trading Co Ltd in Myanmar on 2026-05-01."",""thresholds_at_detection"":{""min_amount"":5000,""risk_tier"":""high"",""include_fatf_grey"":true,""include_ofac_countries"":true},""observed"":{""customer_id"":""CUST-0011"",""counterparty_id"":""CP-00031"",""counterparty_country"":""Myanmar"",""date"":""2026-05-01"",""transaction_count"":1,""total_amount_usd"":5400,""amounts_usd"":[5400],""triggering_transaction_ids"":[""TXN-000115""]},""red_flags"":[""Single wire exceeded the $5,000 high-risk-country threshold"",""Destination country is high risk under the bank jurisdiction-risk matrix"",""Payment memo lacked a specific invoice number""]}"
BSA-ALERT-0023,"{""scenario"":""TRADE_BASED_ML"",""version"":""v2"",""rule_summary"":""Customer CUST-0018 processed 2 trade payments totaling $23,600 with invoice values 21% above shipment documentation."",""thresholds_at_detection"":{""invoice_mismatch_pct"":20,""min_transaction_amount"":10000,""multi_jurisdiction"":true},""observed"":{""customer_id"":""CUST-0018"",""date_range"":""2026-04-26 to 2026-04-27"",""transaction_count"":2,""total_amount_usd"":23600,""average_invoice_mismatch_pct"":21,""jurisdictions"":[""United States"",""Singapore""],""triggering_transaction_ids"":[""TXN-000117"",""TXN-000118""]},""red_flags"":[""Invoice mismatch exceeded the 20% threshold"",""Both payments exceeded the $10,000 minimum transaction amount"",""Supporting bills of lading were provided after payment release""]}"
BSA-ALERT-0024,"{""scenario"":""WATCHLIST_HIT"",""version"":""v2"",""rule_summary"":""Customer CUST-0008 attempted a $7,800 transfer to Damascus Cotton Export House, which screened as a confirmed sanctions hit with a match score of 95."",""thresholds_at_detection"":{""min_match_score"":85,""screen_counterparties"":true,""screen_beneficial_owners"":true},""observed"":{""customer_id"":""CUST-0008"",""counterparty_id"":""CP-00032"",""counterparty_name"":""Damascus Cotton Export House"",""screening_status"":""confirmed_hit"",""date"":""2026-05-09"",""transaction_count"":1,""total_amount_usd"":7800,""match_scores"":[95],""triggering_transaction_ids"":[""TXN-000121""]},""red_flags"":[""Counterparty screened as a confirmed sanctions hit"",""Payment destination was inconsistent with customer expected activity"",""Attempt followed prior rejected payments to the same counterparty""]}"
