alert_id,customer_id,account_id,scenario,priority,alert_status,assigned_to,team,amount,risk_score,sla_days,created_at,sla_due_date,disposition,closed_at
ALERT-2025-00055,CUST-0001,ACC-0001,Structuring,Medium,In Progress,Arjun Sharma,T1 Monitoring,9164.84,69,320,2025-03-09,2026-01-23,,
ALERT-2025-00056,CUST-0001,ACC-0001,Cash Intensive,High,Completed,Vikram Sinha,T1 Monitoring,41901.85,81,379,2025-01-09,2026-01-23,Resolved,2026-01-05
ALERT-2025-00057,CUST-0001,ACC-0002,Structuring,Medium,In Progress,Priya Nair,T1 Monitoring,9118.12,50,295,2025-06-30,2026-04-21,,
ALERT-2025-00058,CUST-0001,ACC-0001,Structuring,High,Completed,Vikram Sinha,T1 Monitoring,9298.70,88,389,2025-01-10,2026-02-03,Resolved,2026-01-23
ALERT-2025-00059,CUST-0001,ACC-0002,Structuring,High,Escalated - SAR,Marie Davis,T2 Investigations,9712.06,85,380,2025-01-02,2026-01-17,,
ALERT-2025-00060,CUST-0001,ACC-0003,High Risk Country,Medium,Closed — False Positive,Arjun Sharma,T1 Monitoring,56298.97,40,7,2025-03-30,2025-04-06,False Positive,2025-03-30
ALERT-2025-00061,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,8565.00,34,15,2025-03-31,2025-04-15,False Positive,2025-04-09
ALERT-2025-00062,CUST-0001,ACC-0002,Structuring,Medium,In Progress,Rohit Mehta,T1 Monitoring,8510.86,44,312,2025-03-06,2026-01-12,,
ALERT-2025-00063,CUST-0001,ACC-0001,High Risk Country,Medium,Closed — False Positive,Priya Nair,T1 Monitoring,29359.31,55,7,2025-04-01,2025-04-08,False Positive,2025-04-07
ALERT-2025-00064,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Vikram Sinha,T1 Monitoring,9350.48,28,15,2025-04-01,2025-04-16,False Positive,2025-04-04
ALERT-2025-00065,CUST-0001,ACC-0002,Structuring,High,Escalated - SAR,Cassian Jude,T2 Investigations,9610.80,91,378,2025-01-06,2026-01-19,,
ALERT-2025-00066,CUST-0001,ACC-0001,Structuring,High,Escalated - L2,Marie Davis,T2 Investigations,9542.82,87,407,2024-12-10,2026-01-21,,
ALERT-2025-00067,CUST-0001,ACC-0002,Cash Intensive,High,Completed,Neha Iyer,T1 Monitoring,20411.24,82,390,2025-01-11,2026-02-05,Resolved,2026-01-18
ALERT-2025-00068,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,8990.94,15,15,2025-04-02,2025-04-17,False Positive,2025-04-06
ALERT-2025-00069,CUST-0001,ACC-0003,High Risk Country,Medium,Not Started,Neha Iyer,T1 Monitoring,68974.44,61,293,2025-06-28,2026-04-17,,
ALERT-2025-00070,CUST-0001,ACC-0001,Structuring,High,Completed,Vikram Sinha,T1 Monitoring,8552.53,100,367,2025-01-11,2026-01-13,Resolved,2025-12-30
ALERT-2025-00071,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Robert Wright,T1 Monitoring,9329.60,39,15,2025-04-03,2025-04-18,False Positive,2025-04-12
ALERT-2025-00072,CUST-0001,ACC-0001,Rapid Movement,Low,Closed — False Positive,Robert Wright,T1 Monitoring,88850.12,22,15,2025-04-03,2025-04-18,False Positive,2025-04-06
ALERT-2025-00073,CUST-0001,ACC-0001,Watchlist Hit,High,Escalated - SAR,Olivia Brown,T2 Investigations,43670.54,93,387,2025-02-13,2026-03-07,,
ALERT-2025-00074,CUST-0001,ACC-0001,Structuring,High,Escalated - SAR,Marie Davis,T2 Investigations,8885.49,85,402,2025-01-27,2026-03-05,,
ALERT-2025-00075,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,9220.38,20,15,2025-04-03,2025-04-18,False Positive,2025-04-08
ALERT-2025-00076,CUST-0001,ACC-0001,Cash Intensive,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,43360.19,24,15,2025-04-03,2025-04-18,False Positive,2025-04-14
ALERT-2025-00077,CUST-0001,ACC-0001,Structuring,High,Escalated - SAR,Hannah Louise,T2 Investigations,8572.02,99,436,2024-11-27,2026-02-06,,
ALERT-2025-00078,CUST-0001,ACC-0003,Watchlist Hit,High,In Progress,Priya Nair,T1 Monitoring,84938.58,70,357,2025-02-02,2026-01-25,,
ALERT-2025-00079,CUST-0001,ACC-0002,Cash Intensive,Medium,In Progress,Priya Nair,T1 Monitoring,31405.27,58,360,2025-05-26,2026-05-21,,
ALERT-2025-00080,CUST-0001,ACC-0003,Rapid Movement,Medium,Not Started,Priya Nair,T1 Monitoring,87605.69,58,282,2025-08-15,2026-05-24,,
ALERT-2025-00081,CUST-0002,ACC-0006,Watchlist Hit,High,In Progress,Rohit Mehta,T1 Monitoring,85105.11,84,286,2025-05-14,2026-02-24,,
ALERT-2025-00082,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Priya Nair,T1 Monitoring,8910.00,26,15,2025-04-05,2025-04-20,False Positive,2025-04-19
ALERT-2025-00083,CUST-0002,ACC-0005,Structuring,High,Completed,Neha Iyer,T1 Monitoring,8574.02,86,388,2025-01-12,2026-02-04,Resolved,2026-01-27
ALERT-2025-00084,CUST-0002,ACC-0004,Watchlist Hit,Medium,Not Started,Robert Wright,T1 Monitoring,21087.18,41,316,2025-05-30,2026-04-11,,
ALERT-2025-00085,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,8976.32,38,15,2025-04-05,2025-04-20,False Positive,2025-04-17
ALERT-2025-00086,CUST-0002,ACC-0005,Structuring,High,Escalated - SAR,Cassian Jude,T2 Investigations,9559.93,92,400,2025-01-17,2026-02-21,,
ALERT-2025-00087,CUST-0002,ACC-0004,Structuring,Medium,In Progress,Robert Wright,T1 Monitoring,8855.89,58,280,2025-04-13,2026-01-18,,
ALERT-2025-00088,CUST-0002,ACC-0005,Structuring,Medium,In Progress,Vikram Sinha,T1 Monitoring,9568.04,53,324,2025-04-17,2026-03-07,,
ALERT-2025-00089,CUST-0002,ACC-0004,Structuring,High,Escalated - L2,Marie Davis,T2 Investigations,9747.84,100,362,2025-01-15,2026-01-12,,
ALERT-2025-00090,CUST-0002,ACC-0004,Cash Intensive,High,Escalated - L2,Marie Davis,T2 Investigations,23855.32,80,396,2024-12-27,2026-01-27,,
ALERT-2025-00091,CUST-0002,ACC-0006,Watchlist Hit,Medium,Not Started,Priya Nair,T1 Monitoring,53316.72,64,310,2025-03-12,2026-01-16,,
ALERT-2025-00092,CUST-0002,ACC-0005,Structuring,High,Completed,Arjun Sharma,T1 Monitoring,9011.84,78,392,2025-01-15,2026-02-11,Resolved,2026-01-23
ALERT-2025-00093,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,9869.39,21,15,2025-04-08,2025-04-23,False Positive,2025-04-20
ALERT-2025-00094,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,8955.74,29,15,2025-04-08,2025-04-23,False Positive,2025-04-16
ALERT-2025-00095,CUST-0002,ACC-0005,Cash Intensive,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,29905.52,19,15,2025-04-08,2025-04-23,False Positive,2025-04-20
ALERT-2025-00096,CUST-0002,ACC-0004,Cash Intensive,Medium,In Progress,Priya Nair,T1 Monitoring,20952.98,55,327,2025-02-17,2026-01-10,,
ALERT-2025-00097,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Priya Nair,T1 Monitoring,8861.48,18,15,2025-04-10,2025-04-25,False Positive,2025-04-15
ALERT-2025-00098,CUST-0002,ACC-0006,Rapid Movement,Medium,Not Started,Arjun Sharma,T1 Monitoring,31707.90,43,338,2025-04-03,2026-03-07,,
ALERT-2025-00099,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Arjun Sharma,T1 Monitoring,9384.61,38,15,2025-04-12,2025-04-27,False Positive,2025-04-18
ALERT-2025-00100,CUST-0002,ACC-0004,Structuring,High,Escalated - SAR,Cassian Jude,T2 Investigations,8778.03,93,377,2025-03-16,2026-03-28,,
ALERT-2025-00101,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Arjun Sharma,T1 Monitoring,8673.27,22,15,2025-04-13,2025-04-28,False Positive,2025-04-16
ALERT-2025-00102,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Priya Nair,T1 Monitoring,8503.57,38,15,2025-04-13,2025-04-28,False Positive,2025-04-19
ALERT-2025-00103,CUST-0002,ACC-0005,Structuring,Medium,In Progress,Arjun Sharma,T1 Monitoring,8657.42,50,317,2025-04-15,2026-02-26,,
ALERT-2025-00104,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Arjun Sharma,T1 Monitoring,9148.38,30,15,2025-04-13,2025-04-28,False Positive,2025-04-13
ALERT-2025-00105,CUST-0002,ACC-0005,Cash Intensive,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,26525.75,24,15,2025-04-13,2025-04-28,False Positive,2025-04-17
ALERT-2025-00106,CUST-0002,ACC-0005,Structuring,Medium,Not Started,Neha Iyer,T1 Monitoring,8850.18,58,336,2025-03-04,2026-02-03,,
ALERT-2025-00107,CUST-0002,ACC-0004,Structuring,Medium,In Progress,Neha Iyer,T1 Monitoring,9315.97,49,281,2025-07-12,2026-04-19,,
ALERT-2025-00108,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,9815.05,31,15,2025-04-13,2025-04-28,False Positive,2025-04-27
ALERT-2025-00109,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Vikram Sinha,T1 Monitoring,9341.09,30,15,2025-04-14,2025-04-29,False Positive,2025-04-19
ALERT-2025-00110,CUST-0002,ACC-0005,Structuring,Medium,Not Started,Robert Wright,T1 Monitoring,8702.56,67,299,2025-05-03,2026-02-26,,
ALERT-2025-00111,CUST-0002,ACC-0004,Structuring,High,Escalated - SAR,Cassian Jude,T2 Investigations,8838.97,95,391,2025-01-06,2026-02-01,,
ALERT-2025-00112,CUST-0002,ACC-0004,Cash Intensive,Medium,Unassigned,,,35027.82,50,274,2025-04-19,2026-01-18,,
ALERT-2025-00113,CUST-0002,ACC-0005,Structuring,Medium,In Progress,Robert Wright,T1 Monitoring,8560.46,64,273,2025-04-20,2026-01-18,,
ALERT-2025-00114,CUST-0002,ACC-0004,Structuring,Medium,Unassigned,,,9881.68,68,346,2025-04-10,2026-03-22,,
ALERT-2025-00115,CUST-0002,ACC-0005,Structuring,High,Escalated - SAR,Marie Davis,T2 Investigations,9030.87,92,393,2025-03-29,2026-04-26,,
ALERT-2025-00116,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Robert Wright,T1 Monitoring,9026.40,34,15,2025-04-16,2025-05-01,False Positive,2025-04-30
ALERT-2025-00117,CUST-0002,ACC-0005,Structuring,High,Escalated - L2,Hannah Louise,T2 Investigations,9610.99,87,390,2025-03-16,2026-04-10,,
ALERT-2025-00118,CUST-0002,ACC-0004,Rapid Movement,Medium,In Progress,Neha Iyer,T1 Monitoring,38546.42,56,320,2025-03-03,2026-01-17,,
ALERT-2025-00119,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,8654.39,37,15,2025-04-17,2025-05-02,False Positive,2025-04-26
ALERT-2025-00120,CUST-0002,ACC-0005,Cash Intensive,Low,Closed — False Positive,Robert Wright,T1 Monitoring,38615.25,17,15,2025-04-17,2025-05-02,False Positive,2025-04-18
ALERT-2025-00121,CUST-0002,ACC-0006,Rapid Movement,High,Escalated - SAR,Cassian Jude,T2 Investigations,211696.38,90,366,2025-01-28,2026-01-29,,
ALERT-2025-00122,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Arjun Sharma,T1 Monitoring,9648.96,15,15,2025-04-18,2025-05-03,False Positive,2025-04-26
ALERT-2025-00123,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Arjun Sharma,T1 Monitoring,9214.90,38,15,2025-04-18,2025-05-03,False Positive,2025-04-26
ALERT-2025-00124,CUST-0002,ACC-0005,Structuring,Medium,Not Started,Priya Nair,T1 Monitoring,9154.84,57,314,2025-03-21,2026-01-29,,
ALERT-2025-00125,CUST-0002,ACC-0004,Cash Intensive,High,Escalated - L2,Cassian Jude,T2 Investigations,42731.33,90,364,2025-01-16,2026-01-15,,
ALERT-2025-00126,CUST-0002,ACC-0005,Cash Intensive,High,Escalated - SAR,Cassian Jude,T2 Investigations,36627.61,96,434,2025-01-05,2026-03-15,,
ALERT-2025-00127,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,8840.40,36,15,2025-04-20,2025-05-05,False Positive,2025-05-02
ALERT-2025-00128,CUST-0002,ACC-0005,Structuring,High,Completed,Neha Iyer,T1 Monitoring,8702.12,100,360,2025-01-17,2026-01-12,Resolved,2025-12-25
ALERT-2025-00129,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Priya Nair,T1 Monitoring,9874.44,31,15,2025-04-20,2025-05-05,False Positive,2025-04-30
ALERT-2025-00130,CUST-0002,ACC-0004,Rapid Movement,Low,Closed — False Positive,Priya Nair,T1 Monitoring,37357.29,38,15,2025-04-20,2025-05-05,False Positive,2025-05-02
ALERT-2025-00131,CUST-0002,ACC-0005,Structuring,Medium,In Progress,Rohit Mehta,T1 Monitoring,9185.65,53,302,2025-03-31,2026-01-27,,
ALERT-2025-00132,CUST-0002,ACC-0004,Cash Intensive,Medium,Not Started,Rohit Mehta,T1 Monitoring,25486.77,61,283,2025-08-07,2026-05-17,,
ALERT-2025-00133,CUST-0002,ACC-0004,Structuring,High,Escalated - SAR,Hannah Louise,T2 Investigations,9596.71,95,407,2025-04-05,2026-05-17,,
ALERT-2025-00134,CUST-0002,ACC-0005,Structuring,Medium,In Progress,Robert Wright,T1 Monitoring,9249.72,66,294,2025-04-14,2026-02-02,,
ALERT-2025-00135,CUST-0002,ACC-0004,Structuring,Medium,Not Started,Vikram Sinha,T1 Monitoring,8693.06,64,313,2025-03-29,2026-02-05,,
ALERT-2025-00136,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Priya Nair,T1 Monitoring,9660.49,30,15,2025-04-22,2025-05-07,False Positive,2025-05-01
ALERT-2025-00137,CUST-0002,ACC-0004,Structuring,Medium,Not Started,Rohit Mehta,T1 Monitoring,9770.75,55,316,2025-05-17,2026-03-29,,
ALERT-2025-00138,CUST-0002,ACC-0004,Watchlist Hit,High,Escalated - L2,Hannah Louise,T2 Investigations,92474.60,73,426,2025-02-10,2026-04-12,,
ALERT-2025-00139,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Vikram Sinha,T1 Monitoring,9397.74,36,15,2025-04-23,2025-05-08,False Positive,2025-05-03
ALERT-2025-00140,CUST-0002,ACC-0004,Structuring,Medium,Not Started,Vikram Sinha,T1 Monitoring,9017.87,42,336,2025-03-28,2026-02-27,,
ALERT-2025-00141,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,9552.37,26,15,2025-04-23,2025-05-08,False Positive,2025-05-04
ALERT-2025-00142,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Robert Wright,T1 Monitoring,8813.17,25,15,2025-04-23,2025-05-08,False Positive,2025-04-26
ALERT-2025-00143,CUST-0002,ACC-0005,Structuring,Medium,Not Started,Robert Wright,T1 Monitoring,9684.00,51,339,2025-02-11,2026-01-16,,
ALERT-2025-00144,CUST-0002,ACC-0004,Structuring,High,Escalated - L2,Olivia Brown,T2 Investigations,8637.57,75,368,2025-02-06,2026-02-09,,
ALERT-2025-00145,CUST-0002,ACC-0006,Watchlist Hit,Medium,Not Started,Neha Iyer,T1 Monitoring,70690.00,45,266,2025-06-25,2026-03-18,,
ALERT-2025-00146,CUST-0002,ACC-0005,Structuring,Medium,Not Started,Priya Nair,T1 Monitoring,8931.62,69,327,2025-02-27,2026-01-20,,
ALERT-2025-00147,CUST-0002,ACC-0004,Structuring,High,Completed,Arjun Sharma,T1 Monitoring,8919.87,100,369,2025-01-19,2026-01-23,Resolved,2026-01-04
ALERT-2025-00148,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Arjun Sharma,T1 Monitoring,9229.67,21,15,2025-04-24,2025-05-09,False Positive,2025-04-28
ALERT-2025-00149,CUST-0002,ACC-0004,Structuring,Medium,Not Started,Rohit Mehta,T1 Monitoring,9702.56,68,263,2025-05-06,2026-01-24,,
ALERT-2025-00150,CUST-0002,ACC-0005,Structuring,Medium,Not Started,Vikram Sinha,T1 Monitoring,9076.36,65,261,2025-05-30,2026-02-15,,
ALERT-2025-00151,CUST-0002,ACC-0004,Structuring,Medium,In Progress,Vikram Sinha,T1 Monitoring,9182.67,69,294,2025-08-08,2026-05-29,,
ALERT-2025-00152,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Priya Nair,T1 Monitoring,9038.29,39,15,2025-04-25,2025-05-10,False Positive,2025-04-25
ALERT-2025-00153,CUST-0002,ACC-0004,Structuring,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,8581.81,23,15,2025-04-25,2025-05-10,False Positive,2025-04-26
ALERT-2025-00154,CUST-0002,ACC-0005,Structuring,Medium,Unassigned,,,9743.13,64,313,2025-03-07,2026-01-14,,
ALERT-2025-00155,CUST-0002,ACC-0004,Structuring,Medium,In Progress,Rohit Mehta,T1 Monitoring,8708.05,67,264,2025-04-29,2026-01-18,,
ALERT-2025-00156,CUST-0002,ACC-0005,Structuring,Low,Closed — False Positive,Robert Wright,T1 Monitoring,8950.41,30,15,2025-04-27,2025-05-12,False Positive,2025-05-11
ALERT-2025-00157,CUST-0002,ACC-0004,Structuring,High,Escalated - L2,Olivia Brown,T2 Investigations,9073.54,93,360,2025-01-17,2026-01-12,,
ALERT-2025-00158,CUST-0002,ACC-0006,Rapid Movement,High,Completed,Neha Iyer,T1 Monitoring,74641.24,91,358,2025-01-20,2026-01-13,Resolved,2026-01-01
ALERT-2025-00159,CUST-0002,ACC-0005,Structuring,Medium,Unassigned,,,8746.05,45,337,2025-05-09,2026-04-11,,
